label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
0	594 N	n/a	dog	Fresno, Bakersfield, San Diego	-0.7062 mph	0.9077	1.5995 m^3	-271	99	1.4983	1701	483	482	-489
0	-127 N	0.0175	chicken	Chula Vista	-0.456 mph	2.1031	0.6712 m^3	-416	1123	-0.1769	2602	181	1401	-149
3	610 N	-0.4055	ferret	Stockton	0.0235 mph	-1.8063	0.5177 m^3	-388	1417	0.8012	1176	1390	1755	-1731
0	-1622 N	1.2015	dog	Long Beach, San Diego, Bakersfield, Irvine, Fresno	1.1449 mph	1.3686	0.0825 m^3	1263	60	1.306	1941	-1367	293	822
3	352 N	0.2685	rabbit	Stockton, San Francisco	0.3484 mph	0.7872	0.5763 m^3	-103	612	-0.1437	223	-738	575	-1100
1	667 N	0.8177	rat	Santa Clarita, Riverside	1.8961 mph	0.9268	-0.4392 m^3	1592	837	0.9082	-729	366	64	-1416
2	2 N	0.9898	guinea pig	Los Angeles, San Bernardino, Oakland, Modesto, San Jose	-1.0553 mph	-0.0906	-0.996 m^3	-1113	326	-0.0716	1342	736	-368	-1280
2	-236 N	1.4738	hamster	Los Angeles, Modesto, Anaheim, San Bernardino, Oakland, Moreno Valley	0.98 mph	1.3733	1.0179 m^3	-602	494	1.2092	313	2237	1095	-116
3	1157 N	-0.3343	rabbit	San Francisco	-0.4373 mph	0.8829	-0.0805 m^3	890	-227	-0.3086	-673	-90	344	-1218
3	43 N	-0.643	FERRET	Los Angeles, Modesto, Oakland, San Bernardino	0.6199 mph	-1.1966	0.3956 m^3	580	252	-1.1852	893	1467	-377	-1240
0	-909 N	0.6952	dog	Fresno	-0.2202 mph	2.0401	1.6746 m^3	645	1036	0.1775	2477	839	543	-977
0	2244 N	0.2366	rabbit	Chula Vista, San Diego, Fremont	0.1237 mph	1.1277	0.9337 m^3	1568	697	0.4382	811	-550	600	917
0	-804 N	2.3395	cat	Bakersfield, San Diego	0.3804 mph	0.0076	1.2753 m^3	96	810	0.485	1407	-162	2430	1006
1	1226 N	0.3975	reptile	Riverside, Santa Clarita	1.0703 mph	-0.4145	0.0416 m^3	434	1019	-1.2118	64	35	-517	-65
2	142 N	1.5438	dog	Modesto, San Bernardino, Anaheim	1.1662 mph	0.5366	0.0731 m^3	-494	-105	0.8604	-629	1776	-169	-780
1	-194 N	0.9664	fish	Sacramento, Riverside	2.4182 mph	0.7762	2.2452 m^3	320	1254	0.4867	1880	514	-223	749
1	186 N	1.3867	fish	Santa Clarita	1.7443 mph	-0.4785	-0.4408 m^3	712	430	0.9402	-554	-1527	72	662
3	-222 N	-0.8574	ferret	Santa Ana, Stockton	-0.0913 mph	0.3353	-0.058 m^3	466	685	0.0245	373	-399	-339	-580
0	465 N	1.3963	dog	Bakersfield, Fresno, Irvine, San Diego, Fremont	0.4768 mph	-0.8832	0.546 m^3	255	-470	0.8348	1147	402	471	364
3	1559 N	1.6463	ferret	Stockton, San Francisco	-1.4168 mph	-0.1729	1.0393 m^3	-59	-79	-0.5748	-697	376	372	380
3	-1716 N	-0.7105	ferret	Stockton	-0.7372 mph	-0.3371	0.0369 m^3	847	401	0.3328	306	666	1291	-51
3	140 N	0.0578	ferret	Stockton, Santa Ana	0.3628 mph	1.1992	1.2725 m^3	703	271	-0.5381	-2372	1067	177	-279
2	1166 N	-0.1712	bird	Oakland, Modesto	1.1246 mph	0.4392	1.4921 m^3	-455	401	0.7291	-512	-184	1397	-854
1	707 N	0.2465	rat	Sacramento, Riverside	1.0924 mph	0.5994	0.3389 m^3	483	318	0.1649	-1852	-247	661	2313
1	-851 N	0.5888	rat	Santa Clarita	n/a	-1.3997	-1.6657 m^3	807	-77	-0.5098	-634	-429	-932	930
3	925 N	1.1281	ferret	Santa Ana	-0.0925 mph	-1.2	-1.3541 m^3	1084	-382	0.286	1678	-421	984	-523
0	-673 N	0.5836	chicken	lONG bEACH, bAKERSFIELD, iRVINE, fRESNO, fREMONT, cHULA vISTA	-0.3629 mph	1.112	-0.8615 m^3	1116	-69	1.4536	2453	-671	1258	-1277
3	393 N	1.3072	rabbit	San Francisco	-1.0553 mph	0.6639	1.6543 m^3	2192	-27	0.1417	-1001	-179	906	-1328
1	184 N	1.1227	fish	Santa Clarita, Sacramento	1.8975 mph	1.0446	-0.0071 m^3	2566	-735	-1.1774	-691	-96	-168	-328
3	-544 N	0.9624	rabbit	Santa Ana, San Francisco	0.7961 mph	0.8803	1.9421 m^3	-73	-1197	-1.0228	-535	572	2064	4
0	-456 N	0.4177	reptile	Irvine, Long Beach, Bakersfield, San Diego, Fresno, Chula Vista	0.4917 mph	1.3772	0.7791 m^3	-1382	-422	-0.3287	77	1255	1084	-453
0	912 N	0.6911	reptile	Fresno	-0.3221 mph	-0.1938	-0.7659 m^3	1248	-742	0.2173	485	-394	-80	-57
3	538 N	NULL	ferret	Santa Ana	-0.2887 mph	-0.0069	1.1359 m^3	-24	583	-0.9126	-698	755	744	-857
1	1222 N	0.0918	rat	Sacramento, Riverside	0.314 mph	2.6545	2.372 m^3	1566	940	-0.6101	-960	427	243	-411
1	-43 N	-0.3878	fish	Santa Clarita	0.1162 mph	-0.9098	1.3429 m^3	394	501	0.3289	1706	-2298	181	253
3	None	-0.0043	dog	San Francisco, Stockton	-0.26 mph	0.2949	-0.1252 m^3	8	-525	-1.3637	-1768	-415	707	-59
1	-477 N	1.1542	fish	Santa Clarita, Sacramento	0.5285 mph	1.4301	-0.4647 m^3	2088	863	1.1547	1627	-506	476	-506
3	314 N	0.0603	chicken	santa ana, stockton	-0.2771 mph	0.1307	0.0711 m^3	-602	-917	0.0512	1199	533	1042	823
3	370 N	0.5726	rabbit	Santa Ana	1.1725 mph	0.1713	-0.2239 m^3	1017	442	NULL	400	-693	-1233	1844
2	198 N	0.3523	pig	Los Angeles, San Jose, Modesto, San Bernardino	0.6752 mph	-0.6567	-1.3814 m^3	1985	-382	0.7711	905	1798	1714	1455
3	630 N	1.8697	ferret	San Francisco, Stockton	-0.0294 mph	1.2991	1.4459 m^3	-2168	-504	-0.1024	-846	704	2762	1375
2	-16 N	-0.6156	cat	Moreno Valley, Los Angeles, San Bernardino, Oakland, San Jose, Anaheim	0.4114 mph	-0.7611	0.2086 m^3	-137	474	0.0127	-1130	-106	1444	-1383
2	2605 N	0.6825	pig	Los Angeles, San Jose, Modesto, Moreno Valley, San Bernardino	1.8388 mph	2.9981	0.2744 m^3	216	391	0.7167	-15	870	1592	-1445
2	957 N	-0.3596	guinea pig	Oakland, Moreno Valley, Los Angeles, Anaheim	0.729 mph	0.6319	0.2751 m^3	-123	0	0.4828	943	-287	435	1426
1	-5 N	-0.1584	rat	Sacramento, Riverside	None	-0.3963	0.8874 m^3	190	882	-0.2473	1010	-1088	324	1456
2	1017 N	-1.3043	pig	oAKLAND, sAN bERNARDINO	-0.2606 mph	-0.4923	1.3556 m^3	469	165	0.965	-2428	877	360	1014
3	2896 N	0.2688	rabbit	Santa Ana, Stockton	0.094 mph	0.307	1.3321 m^3	-29	-252	-0.3897	700	-738	703	560
2	-491 N	0.0421	pig	San Jose, Modesto, Oakland, Los Angeles, San Bernardino, Anaheim	0.5608 mph	-0.1293	0.2244 m^3	-23	-453	0.3839	-703	1462	102	1536
0	2701 N	1.1954	reptile	San Diego, Fremont, Long Beach	0.3553 mph	1.0778	-1.2796 m^3	165	1080	1.2295	1765	876	954	495
3	1319 N	0.2645	rabbit	San Francisco	1.0508 mph	0.0761	-0.1431 m^3	-803	-364	0.1509	-1224	-551	198	-312
2	2354 N	0.9278	pig	Oakland, San Jose	1.0216 mph	0.0915	0.9041 m^3	-397	254	0.4999	-1457	1791	-44	-352
2	762 N	1.1337	cat	Moreno Valley, Los Angeles, Oakland, Modesto	N/A	-0.3607	-0.1801 m^3	-60	320	1.1883	509	307	619	-67
0	1674 N	1.3121	hamster	Stockton	0.9375 mph	1.5546	-0.3979 m^3	-179	527	0.6168	1177	-216	2187	93
1	-1365 N	-0.0315	fish	Sacramento, Riverside	1.7259 mph	-1.1282	1.582 m^3	788	2139	-0.3265	-65	526	-194	-148
0	981 N	0.8187	reptile	San Francisco	-0.9819 mph	1.3771	1.1248 m^3	969	255	0.9792	1299	288	1031	1609
2	897 N	0.1078	rat	Los Angeles	0.221 mph	-0.4409	1.4498 m^3	374	803	0.7636	-265	1667	1626	-336
1	891 N	0.3039	rat	Sacramento	-0.0025 mph	-0.1851	0.9418 m^3	-358	123	-0.3281	-41	1301	760	-681
3	-1159 N	0.2146	ferret	Fremont, Long Beach, Bakersfield, Chula Vista, Fresno, San Diego	-0.1474 mph	-0.1225	1.8635 m^3	-147	250	-0.0637	-828	-161	577	-285
2	1625 N	0.027	bird	Anaheim, San Bernardino, Moreno Valley	0.8071 mph	0.2533	-0.2144 m^3	279	1083	-0.1363	-277	1324	27	228
3	394 N	0.0524	rabbit	Stockton	0.1377 mph	0.1219	0.5398 m^3	-478	208	0.2009	1759	-259	741	-524
1	-638 N	1.0747	cat	Sacramento	0.3167 mph	0.928	-0.508 m^3	1523	1131	0.1691	261	1212	506	500
1	-1243 N	0.9532	fish	Santa Clarita	1.519 mph	0.3351	0.6126 m^3	-110	687	0.2728	-19	92	-242	1278
0	-208 N	0.8366	chicken	Chula Vista, Long Beach	-0.2442 mph	1.0241	0.1851 m^3	906	-293	0.6946	1485	-104	2571	-715
3	191 N	0.7131	rabbit	San Francisco	0.1862 mph	0.6475	1.2284 m^3	122	-243	-0.5814	1556	-39	1977	1429
3	579 N	0.3147	ferret	San Francisco, Santa Ana	1.0063 mph	0.4929	2.2952 m^3	-95	505	2.072	?	302	375	889
0	1562 N	0.1438	reptile	Long Beach, San Diego	-1.3312 mph	1.643	0.9899 m^3	-1031	1016	0.9214	706		345	1200
1	1278 N	1.6989	rat	Riverside, Sacramento	0.3448 mph	0.1036	1.7467 m^3	567	-1034	-0.311	-982	210	1248	1590
1	1065 N	0.8432	guinea pig	Riverside, Santa Clarita	1.4662 mph	-0.2695	1.7687 m^3	647	-241	0.1853	1383	692	356	1675
0	2257 N	1.5308	fish	Fresno	-0.0557 mph	0.7377	1.837 m^3	19	498	0.3105	762	24	7	-52
2	3426 N	-0.1355	guinea pig	San Jose, Anaheim, Modesto, Los Angeles, Moreno Valley	-0.147 mph	1.6692	1.7437 m^3	-1286	1107	-0.1794	-104	2255	1142	-153
3	1769 N	0.1383	rabbit	Santa Ana	0.5552 mph	-0.7238	1.0521 m^3	-678	804	-0.0067	1022	127	760	508
0	-1342 N	0.5583	reptile	Fresno, Fremont	?	1.3662	1.3817 m^3	542	82	0.1883	130	885	753	-2305
3	215 N	1.1045	ferret	Stockton, San Francisco	-0.3931 mph	NULL	2.5029 m^3	1007	1267	0.8172	422	-1272	805	-628
2	1439 N	0.06	bird	Fresno, San Diego, Irvine	-0.4307 mph	0.0379	-0.7521 m^3	814	662	0.4022	1140	433	1785	653
0	182 N	0.7941	dog	Fremont	-0.0841 mph	1.6294	0.3418 m^3	1770	-201	0.3992	483	-1018	649	-464
1	-653 N	-0.2404	rat	Santa Clarita, Sacramento	0.7772 mph	-0.8189	1.4514 m^3	1569	-111	-0.5635	218	83	185	42
1	345 N	0.938	fish	n/a	1.4255 mph	1.5258	-0.7157 m^3	1904	-194	-0.713	-2093	298	-129	-164
2	1171 N	0.5307	cat	Anaheim	-0.7027 mph	-0.0566	0.2262 m^3	-392	-190	0.329	1057	889	1193	1199
1	-318 N	0.3021	rat	SACRAMENTO, SANTA CLARITA	0.1328 mph	0.6143	1.7975 m^3	1313	1288	-0.1991	-928	-103	622	965
1	870 N	0.4104	rat	Riverside, Santa Clarita	1.2446 mph	-0.6474	?	2045	447	-1.3736	-321	-1195	437	471
0	-133 N	1.0733	None	Bakersfield, Fresno, San Diego	-0.2096 mph	0.835	-0.1994 m^3	333	113	-0.3225	2262	-1074	1654	-1175
1	347 N	1.0857	fish	Sacramento, Santa Clarita	0.5555 mph	1.019	-0.5329 m^3	108	1139	-0.549	1105	-224	-527	2420
2	1123 N	-0.4769	reptile	aNAHEIM, mORENO vALLEY	1.0329 mph	0.5251	2.732 m^3	-779	1675	0.1419	103	1068	919	-89
1	642 N	0.3381	None	Sacramento, Riverside	0.8926 mph	-0.1275	0.3216 m^3	515	100	-0.9203	124	356	-272	273
0	2294 N	1.0097	ferret	San Diego, Bakersfield, Irvine	-0.7682 mph	0.6058	0.6547 m^3	-1013	-1032	-0.2876	1656	-159	154	742
2	1818 N	0.7658	cat	Los Angeles, Oakland, Modesto	1.8421 mph	1.3274	1.4866 m^3	-1135	-213	1.1617	-585	1088	1512	-166
3	718 N	1.2717	rabbit	Stockton, San Francisco	-0.9892 mph	1.1899	1.092 m^3	-481	1797	-0.0354	-975	706	983	737
0	386 N	0.9542	chicken	Bakersfield, Chula Vista	1.3402 mph	1.6077	0.2186 m^3	210	-22	0.0204	1185	-333	964	-475
3	960 N	0.9659	fish	San Francisco, Stockton	0.801 mph	1.4364	2.1187 m^3	-601	1537	-0.435	-870	431	NULL	-621
3	919 N	0.9297	rabbit	Stockton	-1.3689 mph	0.0135	0.4033 m^3	230	785	0.1017	-118	673	1677	-103
0	-1002 N	3.1132	chicken	Chula Vista, Long Beach, Fresno	-0.5153 mph	-0.0343	0.8478 m^3	-175	1057	1.3371	-693		143	-1080
2	1995 N	-0.3621	hamster	Oakland, San Jose, Anaheim, Los Angeles, Modesto	1.7126 mph	1.5844	-0.286 m^3	-459	1453	0.8072	880	647	2311	472
0	-710 N	1.5001	pig	Bakersfield	1.2305 mph	2.3117	1.1006 m^3	171	370	0.2023	-244	-462	566	-1130
2	1122 N	0.2692	cat	Los Angeles, Modesto, San Jose, San Bernardino	2.396 mph	0.182	1.9893 m^3	-193	-597	0.0986	-21	637	1266	-253
1	-1550 N	None	fish	Riverside, Santa Clarita	0.0386 mph	0.7429	0.5975 m^3	434	-507	-0.3179	974	38	1073	777
2	1894 N	-0.3079	pig	San Bernardino, Anaheim, Los Angeles, Modesto	1.09 mph	-1.539	0.0479 m^3	-57	1501	0.6207	-1155	1392	-108	355
1	93 N	0.2147	rat	Santa Clarita, Sacramento	0.6235 mph	-0.4773	0.7589 m^3	1155	N/A	0.3973	50	-260	522	684
1	573 N	1.0929	dog	Sacramento, Santa Clarita	1.5185 mph	?	-0.4694 m^3	1151	143	-0.8524	645	-167	-382	1578
3	274 N	-0.346	rat	Riverside, Sacramento	-0.824 mph	-0.1603	0.7217 m^3	296	-263	0.6947	540	-823	951	461
3	92 N	0.2438	ferret	San Francisco	0.2474 mph	-0.0992	-0.1529 m^3	140	-307	-0.021	320	408	586	-764
1	732 N	0.1115	fish	Riverside, Santa Clarita	0.1856 mph	0.1944	1.9481 m^3	802	788	-0.6898	31	103	449	93
0	-293 N	0.9782	dog	Fresno, Chula Vista, Fremont, San Diego, Irvine, Long Beach	0.8149 mph	1.1936	-0.7556 m^3	-1121	155	0.0541	-1925	18	485	-558
2	1585 N	-2.4589	pig	Modesto, Oakland	0.7303 mph	0.7156	1.9309 m^3	-94	923	0.95	1168	-470	2454	-198
2		1.024	bird	Modesto, San Bernardino, Anaheim	1.7482 mph	0.1259	-0.837 m^3	716	230	0.2288	-983	347	59	1213
1	988 N	0.6566	fish	Sacramento, Santa Clarita	0.2081 mph	0.2888	1.4462 m^3	-110	-407	0.2943	625	-585	-91	484
3	-365 N	0.5571	ferret	Santa Ana, San Francisco	-1.8357 mph	0.0726	1.4486 m^3	-491	1487	-0.5945	-963	-787	455	641
0	948 N	0.6915	chicken	Chula Vista, Bakersfield, Fremont, Long Beach	-1.7746 mph	0.9772	-0.5817 m^3	863	173	0.2582	-129	1140	997	652
2	-641 N	-0.35	cat	Anaheim, Modesto, San Jose, Moreno Valley, Oakland	1.8191 mph	0.9127	-0.8871 m^3	1327	202	1.254	?	1639	1976	42
1	-1496 N	0.9014	rat	Sacramento, Santa Clarita	0.36 mph	1.209	-0.9049 m^3	570	228	-0.8327	85	76	229	1939
0	-4 N	0.8929	dog	Long Beach, Fresno, Irvine, Fremont, Bakersfield	-0.9173 mph	0.0058	0.7253 m^3	901	730	0.6886	420	12	1558	2604
3	-1648 N	2.6112	rabbit	Stockton	0.3472 mph	-0.066	-0.0686 m^3	-651	-199	0.5721	178	1456	728	30
2	-106 N	2.0251	bird	Los Angeles, San Jose, San Bernardino, Oakland, Anaheim	0.7732 mph	0.5186	0.7316 m^3	-54	845	0.6437	NULL	-838	625	-1907
0	-1499 N	1.1449	chicken	Bakersfield, Fremont, Long Beach	0.1645 mph	0.5987	-0.3321 m^3	-617	257	0.6659	1441	398	2748	502
0	-2001 N	0.5864	chicken	bakersfield, fresno, chula vista, san diego, fremont, irvine	0.0366 mph	-0.035	0.5367 m^3	-584	-280	0.005	-672	229	940	2437
1	56 N	0.8994	dog	Sacramento, Santa Clarita	0.3562 mph	1.0608	1.4621 m^3	674	1402	0.8211	1478	?	63	1594
2	2013 N	1.0106	cat	Modesto, Moreno Valley, Anaheim, San Bernardino, Los Angeles, Oakland	0.2265 mph	-0.3173	-0.3108 m^3	-638	-301	1.2262	187	-325	1788	2162
1	1236 N	0.4295	rat	Riverside	0.4689 mph	1.5633	0.2226 m^3	303	227	0.2168	49	1400	-251	2316
1	1666 N	1.4628	fish	Santa Clarita, Riverside	0.2579 mph	-0.305	0.3576 m^3	209	220	0.7183	676	101	-611	2265
3	913 N	-0.5381	rabbit	Stockton, Santa Ana	0.1689 mph	-0.4255	3.5924 m^3	-492	564	-0.5864	58	894	859	-1664
0	1218 N	-1.3671	rabbit	Fremont, Fresno	0.2105 mph	1.8781	0.0153 m^3	397	325	0.0527	2443	487	1191	509
1	825 N	1.3966	rat	Riverside	1.0105 mph	1.5697	1.4604 m^3	269	-378	0.1987	-82	651	-120	448
3	101 N	0.2728	rabbit	San Francisco, Stockton	0.4021 mph	1.7868	0.066 m^3	516	842	-0.4235	715	711	983	434
1	268 N	0.6814	fish	Santa Clarita	-0.152 mph	0.43	-0.4913 m^3	1376	639	-0.586	-200	809	-590	1012
1	-826 N	0.823	dog	Santa Clarita, Riverside	0.3988 mph	1.3553	-0.0128 m^3	1081	418	-0.3655	-601	-435	611	1754
3	168 N	2.0745	rabbit	Santa Ana	1.1914 mph	2.0833	1.0121 m^3	1135	-12	0.6438	-441	440	28	-131
2	607 N	-0.5393	pig	San Jose, San Bernardino, Anaheim, Moreno Valley	0.0099 mph	1.7958	0.4161 m^3	-98	290	1.1704	1063	610	425	366
0	736 N	0.7336	chicken	Fresno, Fremont	-1.0199 mph	2.2741	-0.1246 m^3	-1198	-211	0.4842	1644	168	1646	287
0	-785 N	1.3228	dog	Long Beach, Fremont, Bakersfield, Chula Vista, Fresno, Irvine	-0.5553 mph	0.6213	0.4512 m^3	341	1543	0.2812	2131	-221	140	2111
1	1166 N	-0.3574	fish	Santa Clarita	0.9746 mph	1.1977	0.7319 m^3	769	473	0.3744	-1111	167	58	783
3	-240 N	1.5205	ferret	Santa Ana	-0.8065 mph	0.7664	0.4673 m^3	1187	528	0.7053	-677	526	-1482	-1006
1	876 N	1.4521	rabbit	Sacramento, Riverside	0.7308 mph	1.0736	3.1335 m^3	1421	999	1.1762	-631	531	339	770
1	-74 N	1.1942	rat	Sacramento	-0.0276 mph	0.889	1.405 m^3	2044	-87	-0.0695	375	354	642	583
1	14 N	-1.4876	fish	Riverside	1.2602 mph	1.0559	0.1124 m^3	1124	723	0.5602	-796	2	700	132
3	660 N	-0.7978	ferret	Stockton	1.5925 mph	1.7756	0.2194 m^3	-1361	397	-0.9442	874	-562	77	-983
3	-373 N	-0.096	pig	Santa Ana	0.848 mph	0.4226	0.4747 m^3	-559	353	0.115	-99	596	1834	496
3	675 N	-0.2562	RABBIT	Stockton	?	0.9007	0.0412 m^3	-185	370	-0.2903	427	-84	866	272
3	1499 N	0.606	rabbit	San Francisco	-0.0368 mph	1.8178	1.6026 m^3	-677	585	0.1576	943	1185	560	2205
1	-65 N	0.9443	fish	Riverside, Santa Clarita	0.8815 mph	-0.8332	0.9928 m^3	794	?	1.496	-11	-97	-55	50
0	1401 N	1.2982	dog	Long Beach, Bakersfield	-0.4171 mph	0.2706	-0.1379 m^3	-723	-163	1.3364	-82	296	789	-133
3	-32 N	0.8179	rabbit	San Francisco, Stockton	-1.7382 mph	1.5877	1.1451 m^3	353	-401	0.6324	-2822	-438	311	882
3	707 N	-0.4441	rabbit	Stockton, Santa Ana	0.5245 mph	0.2165	0.3349 m^3	-509	415	-0.386	1262	-15	3130	1450
0	-60 N	2.3067	chicken	Chula Vista, Bakersfield, Fresno, Long Beach, San Diego	-0.3404 mph	1.618	-1.5079 m^3	89	-288	-1.0337	747	0	1065	218
1	328 N	1.0563	fish	Riverside	1.3499 mph	0.2795	-1.0797 m^3	1017	1327	0.3268	-232	-70	1257	79
0	1431 N	1.4528	chicken	Irvine, Bakersfield, San Diego	-0.4058 mph	0.0856	0.316 m^3	-537	201	0.5704	1657	1787	1338	1234
1	944 N	-0.6521	fish	Santa Clarita, Sacramento	0.7868 mph	1.4654	0.9994 m^3	519	-858	0.2498	92	-125	1140	1532
2	334 N	-0.9723	ferret	San Bernardino	0.9647 mph	0.4401	0.0992 m^3	412	528	0.001	-765	-79	1823	-7
1	2215 N	1.0802	rat	Santa Clarita, Riverside	-0.1414 mph	-0.0439	-0.017 m^3	-429	-253	0.185	-264	-543	-776	832
0	42 N	-0.1926	reptile	Irvine	0.4439 mph	1.2522	-1.4864 m^3	-1434	201	1.5297	1745	-436	1511	-52
1	-1970 N	1.2845	rat	Riverside	-0.6295 mph	0.8727	2.862 m^3	639	540	0.8596	437	1008	-458	1452
0	1224 N	1.3947	dog	Fremont, Irvine, Long Beach	0.1515 mph	2.0274	-1.4576 m^3	N/A	1573	0.3499	1694	354	763	-1095
2	1846 N	1.4092	hamster	Los Angeles, Oakland, San Jose, San Bernardino, Anaheim	2.0054 mph	-1.3223	0.1653 m^3	-4	97	0.4998	735	1553	-859	776
3	870 N	-0.369	ferret	Fremont, Bakersfield, San Diego, Fresno, Chula Vista, Irvine	-0.7169 mph	2.0282	-0.188 m^3	706	1070	1.3849	-106	2246	1001	-811
2	-538 N	0.4851	BIRD	Moreno Valley, Anaheim, Modesto, Los Angeles, San Jose	0.0616 mph	-0.8427	2.0791 m^3	503	-369	0.7765	648	1182	628	118
3	634 N	-0.156	ferret	Santa Ana, Stockton	-0.6928 mph	-0.1945	1.0391 m^3	-965	-719	-0.2299	1323	180	766	225
0	3768 N	-0.8375	chicken	Chula Vista, Long Beach	-0.4875 mph	-0.3569	-1.3029 m^3	-2191	133	1.0579	912	1364	1783	1014
2	1172 N	-0.3152	cat	Moreno Valley, Anaheim, Oakland, Los Angeles	0.705 mph	0.1531	0.2767 m^3	-384	1086	1.0383	1160	773	1222	-1086
0	-909 N	1.6815	dog	Fremont, Fresno, Bakersfield	0.6884 mph	1.7103	-0.3848 m^3	-877	182	1.021	1531	-344	1411	-459
1	330 N	0.699	fish	Santa Clarita	1.7181 mph	-0.2091	0.1625 m^3	1331	39	1.032	-696	1559	53	1594
0	93 N	0.0023		Fresno, Bakersfield, Long Beach, San Diego	-0.3959 mph	0.8546	-0.5134 m^3	-931	221	0.2601	311	-533	549	-524
0	1136 N	1.6649	chicken	Chula Vista, Long Beach, Fremont, San Diego	0.0583 mph	0.9139	-0.4561 m^3	-759	392	0.5255	-694	-153	492	-2
0	1735 N	1.5449	chicken	Long Beach, Fremont, Fresno, San Diego, Bakersfield, Irvine	-0.07 mph	0.6556	-1.2984 m^3	-422	-261	1.441	411	902	1616	-1123
1	1462 N	1.0813	rat	Santa Clarita, Riverside	0.4249 mph	0.4629	-0.0125 m^3	460	1179	0.953	-2007	1301	722	NULL
1	1012 N	1.4198	fish	Riverside	1.5358 mph	0.4892	-0.234 m^3	628	N/A	-0.4982	1502	646	-491	-1251
2	-710 N	0.4638	hamster	Santa Ana	1.6414 mph	-0.904	1.0844 m^3	1389	2430	0.3737	-412	385	1129	-690
1	-593 N	0.7321	fish	Santa Clarita, Riverside	0.4551 mph	0.9335	-0.0386 m^3	864	338	0.1083	508	945	124	1040
1	-793 N	1.29	rat	Riverside	-0.4199 mph	-0.6418	-0.1763 m^3	2005	-576	-0.069	935	290	-1520	1622
0	-631 N	1.7606	chicken	Fresno, Irvine, Chula Vista	-1.0599 mph	1.1681	-0.6215 m^3	-273	-186	1.518	685	-130	813	1277
3	1947 N	-1.0778	chicken	Stockton, San Francisco	0.9583 mph	-0.189	0.2003 m^3	None	-122	0.6134	507	508	1318	434
2	-557 N	0.2627	guinea pig	San Jose, Oakland, San Bernardino, Anaheim, Modesto	1.3469 mph	0.3839	0.2929 m^3	-388	-150	1.5684	494	485	NULL	-530
2	492 N	0.1575	ferret	Anaheim, San Bernardino, Modesto, San Jose	0.7711 mph	0.4533	0.4504 m^3	-113	910	0.9911	41	682	849	-263
3	-299 N	1.4631	ferret	San Francisco	-0.1221 mph	0.0436	0.4278 m^3	1120	-474	0.5144	-543	1118	2054	-1053
0	?	0.0291	reptile	Long Beach, Chula Vista, Irvine, Fremont, Fresno	-0.2869 mph	0.4048	-0.6913 m^3	2713	30	0.5613	1274	267	-141	-489
1	-348 N	1.4005	ferret	Riverside, Santa Clarita	0.8531 mph	1.585	1.7157 m^3	2461	-208	0.2072	1372	-109	-55	1485
2	2510 N	0.3315	guinea pig	San Jose, San Bernardino, Moreno Valley	0.1362 mph	-0.8725	0.8945 m^3	1112	-229	1.9505	890	2756	1989	1132
1	954 N	-0.6878	rat	Sacramento	1.2704 mph	0.3423	0.6019 m^3	858	-293	0.5931	-307	918	-262	991
2	1128 N	0.7416	guinea pig	San Jose, Moreno Valley	-0.4328 mph	0.2835	-0.5476 m^3	165	115	0.3293	-2527	131	740	1556
1	404 N	1.8018	fish	Sacramento	0.0534 mph	0.6814	-0.5359 m^3	-462	238	-0.1953	-311	482	-631	152
3	2272 N	0.5571	rabbit	sTOCKTON	-0.2034 mph	1.8518	0.6535 m^3	1237	58	0.7428	-408	-181	1465	552
3	1787 N	-0.0667	ferret	San Francisco, Santa Ana	0.8535 mph	-1.258	1.6355 m^3	244	-70	-0.0813	970	-583	-186	-859
2	1806 N	-0.5984	cat	San Jose, San Bernardino, Modesto	1.0045 mph	1.9714	-0.0888 m^3	481	156	1.1042	-512	-109	779	1173
3	885 N	1.0015	fish	Santa Ana, San Francisco	1.3664 mph	-0.2503	1.0941 m^3	477	2159	1.0655	-824	-398	226	-759
2	-291 N	-1.2372	dog	Modesto, Moreno Valley, Anaheim, Oakland	-0.049 mph	None	-0.5222 m^3	-104	174	1.127	-493	796	914	-719
0	165 N	0.9889	chicken	San Diego, Bakersfield, Chula Vista, Irvine, Fresno, Fremont	-0.6454 mph	1.3033	0.5056 m^3	280	359	1.4207	955	-1008	1279	1015
2	2195 N	-0.7952	bird	Anaheim, Oakland, San Bernardino, Modesto, Los Angeles	0.278 mph	3.238	0.5593 m^3	-567		0.7279	378	463	-347	1055
3	-1964 N	0.1312	rabbit	Santa Ana, Stockton	0.3368 mph	1.923	-0.4371 m^3	231	-38	0.4349	-985	116	569	-235
1	537 N	1.6188	fish	Riverside, Santa Clarita	-0.7554 mph	0.8688	0.5084 m^3	1337	142	0.5985	-416	-252	570	1766
0	325 N	0.6723	reptile	Bakersfield	-0.2255 mph	1.3489	0.7099 m^3	-284	159	0.1747	-1571	392	1061	-835
2	1736 N	-0.6684	pig	Moreno Valley, Los Angeles	1.3167 mph	1.3052	1.9525 m^3	749	-425	0.1921	-200	1251	837	-1408
3	1423 N	0.582	ferret	San Francisco, Santa Ana	-0.0205 mph	0.632	0.3292 m^3	918	-790	0.93	-462	357	1827	-513
